Topic,Language1,Language2,TopicSimilarity
animals,en,de,0.5438440394934381
animals,en,nl,0.5575449630575974
animals,en,cs,0.49365728922945207
animals,en,it,0.44223271222225047
animals,en,es,0.465021174726792
animals,en,PT-PT,0.4070282591896878
animals,en,ro,0.48973517181106524
animals,en,da,0.5491578217275073
animals,en,fr,0.46982942272808836
animals,en,pl,0.40265387820202336
animals,en,hu,0.4842867871761181
animals,en,el,0.317389147531927
animals,en,NB,0.5659426804860046
animals,de,nl,0.6019740481793028
animals,de,cs,0.4195063324161758
animals,de,it,0.39055829977508677
animals,de,es,0.39880188919989445
animals,de,PT-PT,0.359264904207877
animals,de,ro,0.4160496322470114
animals,de,da,0.5789351663158249
animals,de,fr,0.41209330940815386
animals,de,pl,0.37786177848679664
animals,de,hu,0.42982675985385527
animals,de,el,0.24481722255870933
animals,de,NB,0.5888006619895502
animals,nl,cs,0.4190267458886593
animals,nl,it,0.3940638729518482
animals,nl,es,0.4036714318348674
animals,nl,PT-PT,0.3638381558604661
animals,nl,ro,0.42368909967730634
animals,nl,da,0.5573000317261856
animals,nl,fr,0.4105730100536085
animals,nl,pl,0.3828717117726385
animals,nl,hu,0.4381524458530682
animals,nl,el,0.2521904198432815
animals,nl,NB,0.5640811601354936
animals,cs,it,0.3903286049324621
animals,cs,es,0.4079422132020947
animals,cs,PT-PT,0.3585957693042867
animals,cs,ro,0.43600659661082586
animals,cs,da,0.4271051150488116
animals,cs,fr,0.39384369336169095
animals,cs,pl,0.4843525517749984
animals,cs,hu,0.44119689138194146
animals,cs,el,0.27903011402821576
animals,cs,NB,0.43716414872781645
animals,it,es,0.6046017066746662
animals,it,PT-PT,0.5642037203311312
animals,it,ro,0.5575177517083199
animals,it,da,0.38654624895932277
animals,it,fr,0.5462838204601562
animals,it,pl,0.39458506947723676
animals,it,hu,0.3777986113049264
animals,it,el,0.22905753654063168
animals,it,NB,0.3866205216316585
animals,es,PT-PT,0.6396295566317696
animals,es,ro,0.5452703719433705
animals,es,da,0.392115307662696
animals,es,fr,0.5444596705181314
animals,es,pl,0.4009380283586908
animals,es,hu,0.3982794825865636
animals,es,el,0.25122826581277535
animals,es,NB,0.3964135700579006
animals,PT-PT,ro,0.5028738077272974
animals,PT-PT,da,0.35389183832156385
animals,PT-PT,fr,0.49695633521336463
animals,PT-PT,pl,0.3645147621253408
animals,PT-PT,hu,0.34948344344296306
animals,PT-PT,el,0.2056178923346176
animals,PT-PT,NB,0.36081159145044567
animals,ro,da,0.41563354952442483
animals,ro,fr,0.5442301416232951
animals,ro,pl,0.4274230898050038
animals,ro,hu,0.4083796832947219
animals,ro,el,0.26242188549554984
animals,ro,NB,0.4218481688424856
animals,da,fr,0.40164575284168386
animals,da,pl,0.3794022133310869
