Topic,Language1,Language2,TopicSimilarity
animals,en,de,0.43234925867322765
animals,en,nl,0.4365577006283453
animals,en,cs,0.3827030022368112
animals,en,it,0.3499401661244202
animals,en,es,0.3644335909204553
animals,en,PT-PT,0.3445294908980247
animals,en,ro,0.3882148738289918
animals,en,da,0.42534448213945775
animals,en,fr,0.3570935016607436
animals,en,pl,0.32800904579933493
animals,en,hu,0.390534737132163
animals,en,el,0.4715723158911144
animals,en,NB,0.4459998877489482
animals,de,nl,0.6054332320005056
animals,de,cs,0.4270656359597211
animals,de,it,0.3838795979559594
animals,de,es,0.39058203681104886
animals,de,PT-PT,0.34743316811231845
animals,de,ro,0.41472584955631253
animals,de,da,0.5030559716169613
animals,de,fr,0.3564252620462862
animals,de,pl,0.3836761115736225
animals,de,hu,0.4274493554467278
animals,de,el,0.36268459639590406
animals,de,NB,0.5437768102044794
animals,nl,cs,0.42459967311097535
animals,nl,it,0.38924525537833415
animals,nl,es,0.39324756004634087
animals,nl,PT-PT,0.34301854551560457
animals,nl,ro,0.4112661414475113
animals,nl,da,0.4732708612106795
animals,nl,fr,0.3722495492921404
animals,nl,pl,0.3890129128833218
animals,nl,hu,0.4357272213790946
animals,nl,el,0.35982537861301017
animals,nl,NB,0.5280907699235426
animals,cs,it,0.3952617609979859
animals,cs,es,0.4117519277135087
animals,cs,PT-PT,0.3571897541251735
animals,cs,ro,0.4472507636570869
animals,cs,da,0.38251168374130823
animals,cs,fr,0.3625295182446461
animals,cs,pl,0.5337741404658295
animals,cs,hu,0.4679688949456466
animals,cs,el,0.3743260512062635
animals,cs,NB,0.4210830826855561
animals,it,es,0.6028550583006113
animals,it,PT-PT,0.5061794041852914
animals,it,ro,0.5548302174026756
animals,it,da,0.3425780771560585
animals,it,fr,0.4934910869028133
animals,it,pl,0.4079436899990556
animals,it,hu,0.385347557296407
animals,it,el,0.3762839755270252
animals,it,NB,0.3639639481733829
animals,es,PT-PT,0.558811475530786
animals,es,ro,0.5402731253848828
