Language1,Language2,GlobalSimilarity
en,de,0.3491569426818236
en,nl,0.37557012718355054
en,cs,0.3012291231150348
en,it,0.31446047803884314
en,es,0.2972146110057801
en,PT-PT,0.28889279279866115
en,ro,0.3414304954624511
en,da,0.28376061973373257
en,fr,0.3127522441078463
en,pl,0.26173171948508406
en,hu,0.2770424972870586
en,el,0.24450806083078272
en,NB,0.36234444476044164
de,nl,0.4770454367576864
de,cs,0.327039762613753
de,it,0.3085614494192038
de,es,0.2895963078349903
de,PT-PT,0.26290478907258613
de,ro,0.3372618929970849
de,da,0.3303602734140793
de,fr,0.2886288167541858
de,pl,0.29439335970567804
de,hu,0.3115148798003809
de,el,0.22654909387923325
de,NB,0.42947821168270295
nl,cs,0.3314066952642935
nl,it,0.3167379542567346
nl,es,0.3049831754263753
nl,PT-PT,0.26355440630930266
nl,ro,0.341012574272838
nl,da,0.330280335700507
nl,fr,0.30990597236179557
nl,pl,0.29104920632719244
nl,hu,0.30590469471495607
nl,el,0.22899759021608007
nl,NB,0.43079058399881054
cs,it,0.3155672180770189
cs,es,0.29751246676586485
cs,PT-PT,0.2705263120761937
cs,ro,0.3429371103520648
cs,da,0.24027947261542093
cs,fr,0.28033309082602986
cs,pl,0.42945586662936563
cs,hu,0.3346728682574813
cs,el,0.23660472701760962
cs,NB,0.3219137612354573
it,es,0.5005779618364593
it,PT-PT,0.44308869334516143
it,ro,0.48437509703020803
it,da,0.23102014744303906
it,fr,0.421749502646708
it,pl,0.3224292451299311
it,hu,0.29060706644672235
it,el,0.27278582679517743
it,NB,0.30663665308358456
es,PT-PT,0.4738107611585895
es,ro,0.43439203170568846
es,da,0.22750013508316722
es,fr,0.4048724054377311
es,pl,0.3007110781853758
es,hu,0.2750865267509462
es,el,0.2655858542694279
es,NB,0.29436117728884165
PT-PT,ro,0.40141994254625957
PT-PT,da,0.19771062475126872
PT-PT,fr,0.38778441358382837
PT-PT,pl,0.2792775264904871
PT-PT,hu,0.24987533992043073
PT-PT,el,0.2384578337647612
PT-PT,NB,0.2867934894114797
ro,da,0.2531424423947942
ro,fr,0.4489019422698968
ro,pl,0.34623142043001304
ro,hu,0.30643563467572416
ro,el,0.256726371515335
ro,NB,0.3255530232624695
da,fr,0.2251886140639259
da,pl,0.21938720749051854
da,hu,0.22176419979270964
da,el,0.17400181564670086
da,NB,0.4663773281114575
fr,pl,0.2901743565146198
fr,hu,0.2565788023832129
fr,el,0.2526215302055667
fr,NB,0.2832905301214839
pl,hu,0.2855829170524902
pl,el,0.22245058099875406
pl,NB,0.2944629888438489
hu,el,0.21580964446365936
hu,NB,0.29794457489059073
el,NB,0.22610721046763532
