Topic,Language1,Language2,TopicSimilarity,GlobalSimilarity,Difference,mean,std,z_score,OutlierType
music,PT-PT,el,0.367,0.098,0.269,-0.007,0.077,3.601,Positive
music,it,el,0.394,0.110,0.285,-0.010,0.084,3.519,Positive
music,fr,el,0.379,0.106,0.273,-0.009,0.081,3.503,Positive
music,es,pl,0.622,0.306,0.315,-0.007,0.092,3.485,Positive
music,PT-PT,pl,0.600,0.291,0.310,-0.004,0.090,3.484,Positive
music,pl,el,0.374,0.106,0.269,-0.011,0.081,3.445,Positive
music,el,NB,0.413,0.117,0.296,-0.010,0.090,3.413,Positive
music,es,el,0.386,0.117,0.269,-0.011,0.082,3.410,Positive
music,cs,it,0.613,0.303,0.310,-0.007,0.093,3.409,Positive
music,da,el,0.407,0.118,0.289,-0.011,0.089,3.376,Positive
music,it,pl,0.619,0.314,0.305,-0.006,0.093,3.361,Positive
music,cs,PT-PT,0.571,0.279,0.292,-0.003,0.088,3.353,Positive
music,fr,pl,0.575,0.290,0.285,-0.006,0.087,3.347,Positive
music,cs,es,0.595,0.301,0.294,-0.009,0.091,3.341,Positive
music,de,PT-PT,0.556,0.289,0.267,-0.003,0.082,3.297,Positive
music,cs,fr,0.587,0.291,0.296,-0.006,0.092,3.296,Positive
music,de,el,0.391,0.116,0.275,-0.011,0.087,3.293,Positive
music,nl,el,0.405,0.126,0.280,-0.011,0.088,3.291,Positive
music,it,NB,0.618,0.324,0.294,-0.003,0.091,3.283,Positive
music,cs,el,0.419,0.135,0.283,-0.012,0.091,3.262,Positive
music,PT-PT,NB,0.563,0.294,0.269,-0.002,0.083,3.253,Positive
music,es,NB,0.582,0.310,0.272,-0.005,0.087,3.192,Positive
music,de,es,0.584,0.310,0.274,-0.007,0.088,3.191,Positive
music,cs,pl,0.616,0.387,0.230,-0.010,0.076,3.168,Positive
music,it,hu,0.563,0.273,0.289,-0.009,0.094,3.152,Positive
music,hu,el,0.417,0.135,0.282,-0.011,0.093,3.150,Positive
music,nl,es,0.601,0.330,0.271,-0.007,0.088,3.149,Positive
