Topic,Language1,Language2,TopicSimilarity,GlobalSimilarity,Difference,mean,std,z_score,OutlierType
music,cs,it,0.582,0.329,0.254,-0.005,0.078,3.315,Positive
music,es,pl,0.619,0.329,0.289,-0.004,0.089,3.305,Positive
music,it,pl,0.610,0.339,0.271,-0.003,0.085,3.220,Positive
music,de,es,0.563,0.315,0.248,-0.004,0.078,3.211,Positive
shapes,es,el,0.570,0.319,0.251,0.001,0.078,3.189,Positive
music,de,it,0.579,0.322,0.256,-0.003,0.081,3.186,Positive
music,de,pl,0.551,0.315,0.236,-0.005,0.077,3.149,Positive
music,cs,es,0.573,0.323,0.250,-0.007,0.082,3.145,Positive
music,nl,it,0.588,0.335,0.253,-0.005,0.082,3.136,Positive
music,it,hu,0.553,0.305,0.248,-0.006,0.081,3.128,Positive
music,de,PT-PT,0.478,0.286,0.192,-0.002,0.062,3.111,Positive
shapes,PT-PT,fr,0.618,0.408,0.210,-0.001,0.068,3.104,Positive
shapes,es,fr,0.673,0.435,0.238,-0.004,0.080,3.040,Positive
music,nl,es,0.579,0.330,0.249,-0.005,0.084,3.023,Positive
music,nl,fr,0.568,0.329,0.239,-0.003,0.080,3.001,Positive
music,de,fr,0.506,0.303,0.203,-0.004,0.069,2.988,Positive
music,es,hu,0.544,0.305,0.240,-0.006,0.082,2.988,Positive
music,it,da,0.505,0.297,0.208,-0.000,0.070,2.976,Positive
music,nl,pl,0.562,0.316,0.246,-0.006,0.085,2.957,Positive
music,nl,cs,0.615,0.353,0.262,-0.006,0.091,2.948,Positive
music,cs,fr,0.497,0.296,0.201,-0.005,0.070,2.945,Positive
music,es,da,0.507,0.294,0.213,-0.001,0.073,2.936,Positive
music,PT-PT,NB,0.524,0.311,0.213,-0.001,0.073,2.921,Positive
music,PT-PT,pl,0.509,0.304,0.205,-0.002,0.071,2.910,Positive
music,de,cs,0.588,0.346,0.242,-0.004,0.085,2.902,Positive
music,fr,pl,0.523,0.308,0.215,-0.002,0.075,2.890,Positive
music,nl,PT-PT,0.497,0.293,0.203,-0.003,0.071,2.888,Positive
music,cs,ro,0.585,0.355,0.230,-0.008,0.083,2.882,Positive
music,ro,pl,0.598,0.362,0.235,-0.005,0.084,2.868,Positive
music,it,NB,0.519,0.317,0.202,-0.002,0.071,2.867,Positive
music,en,PT-PT,0.486,0.320,0.166,-0.002,0.059,2.867,Positive
music,en,pl,0.456,0.283,0.173,-0.001,0.061,2.847,Positive
music,nl,ro,0.588,0.355,0.232,-0.004,0.084,2.828,Positive
music,fr,hu,0.463,0.275,0.188,-0.003,0.067,2.827,Positive
shapes,it,es,0.808,0.535,0.274,-0.006,0.099,2.826,Positive
music,en,it,0.503,0.330,0.172,-0.003,0.062,2.823,Positive
music,cs,PT-PT,0.478,0.294,0.185,-0.003,0.067,2.809,Positive
shapes,ro,fr,0.695,0.464,0.231,-0.004,0.084,2.806,Positive
shapes,it,fr,0.645,0.438,0.206,-0.003,0.075,2.806,Positive
music,en,es,0.487,0.322,0.166,-0.004,0.061,2.790,Positive
music,de,ro,0.556,0.348,0.207,-0.003,0.076,2.779,Positive
shapes,it,PT-PT,0.670,0.475,0.195,0.001,0.071,2.753,Positive
music,cs,pl,0.621,0.452,0.169,-0.011,0.065,2.752,Positive
music,nl,hu,0.579,0.334,0.245,-0.006,0.092,2.742,Positive
music,PT-PT,hu,0.452,0.268,0.183,-0.002,0.068,2.739,Positive
