Topic,SourceWord,Lang1,Lang2,Word1,Word2,WordSimilarity,mean,std,z_score,OutlierType
shopping,style,el,NB,stˈil,stˈiːl,1.000,0.184,0.156,5.228,Positive
personal qualities,testy,pl,el,tˈɛstɨ,(en)tˈɛsti(el),1.000,0.187,0.158,5.137,Positive
emotions,nirvana,nl,el,nɪrvˈaːnaː,nirvˈana,1.000,0.187,0.160,5.077,Positive
emotions,shock,pl,el,ʃˈɔk,sˈok,1.000,0.171,0.164,5.063,Positive
emotions,nirvana,pl,el,ɲirvˈana,nirvˈana,1.000,0.171,0.164,5.063,Positive
business,bonus,PT-PT,el,bˈɔnuʃ,bˈonus,1.000,0.204,0.159,5.007,Positive
business,fax,PT-PT,el,fˈaks,fˈaks,1.000,0.204,0.159,5.007,Positive
house,loft,PT-PT,hu,lˈoft,lˈoft,1.000,0.187,0.163,4.981,Positive
business,fax,el,NB,fˈaks,fˈɑks,1.000,0.184,0.166,4.928,Positive
business,net,el,NB,(en)nˈɛt(el),nˈɛtː,1.000,0.184,0.166,4.928,Positive
body,skeleton,nl,pl,skəlˈɛt,ʃkʲˈɛlɛt,1.000,0.140,0.176,4.901,Positive
body,nose,nl,pl,nˈøːs,nˈɔs,1.000,0.140,0.176,4.901,Positive
personal qualities,frank,nl,el,frˈɑŋk,(en)fɹˈaŋk(el),1.000,0.187,0.166,4.901,Positive
emotions,shock,el,NB,sˈok,ʃˈɔkː,1.000,0.179,0.168,4.894,Positive
emotions,nirvana,el,NB,nirvˈana,nˈɪrvanˌɑ,1.000,0.179,0.168,4.894,Positive
emotions,ecstasy,el,NB,ˈekstasˌi,ˈɛkstasˌyː,1.000,0.179,0.168,4.894,Positive
shopping,style,fr,el,stˈil,stˈil,1.000,0.207,0.163,4.873,Positive
body,scalp,en,pl,skˈælp,skˈalp,1.000,0.148,0.176,4.847,Positive
body,pore,en,pl,pˈɔːɹ,pˈɔr,1.000,0.148,0.176,4.847,Positive
body,pore,fr,pl,pˈɔʁ,pˈɔr,1.000,0.165,0.175,4.769,Positive
body,skeleton,fr,pl,skəlˈɛt,ʃkʲˈɛlɛt,1.000,0.165,0.175,4.769,Positive
emotions,nirvana,de,el,nˈɪɾvanˌɑː,nirvˈana,1.000,0.182,0.172,4.765,Positive
emotions,shock,de,el,ʃˈɔk,sˈok,1.000,0.182,0.172,4.765,Positive
personal qualities,frank,hu,el,frˈɑnk,(en)fɹˈaŋk(el),1.000,0.190,0.171,4.728,Positive
personal qualities,snobby,hu,el,snˈob,snˈob,1.000,0.190,0.171,4.728,Positive
personal qualities,smart,da,el,smˈɑt,(en)smˈɑːt(el),1.000,0.183,0.173,4.716,Positive
personal qualities,frank,de,el,frˈaŋk,(en)fɹˈaŋk(el),1.000,0.200,0.170,4.714,Positive
house,lanai,de,el,lˈɑnaɪ,(en)lˈanaɪ(el),1.000,0.179,0.176,4.664,Positive
shopping,style,ro,el,stˈil,stˈil,1.000,0.204,0.172,4.630,Positive
house,mat,da,el,mˈat,(en)mˈat(el),1.000,0.179,0.177,4.629,Positive
house,lanai,da,el,lˈanaˌʔi,(en)lˈanaɪ(el),1.000,0.179,0.177,4.629,Positive
house,trim,da,el,tʁˈʔim,(en)tɹˈɪm(el),1.000,0.179,0.177,4.629,Positive
house,loft,de,PT-PT,lˈɔft,lˈoft,1.000,0.202,0.173,4.627,Positive
emotions,nirvana,cs,el,ɲˈirvana,nirvˈana,1.000,0.204,0.172,4.622,Positive
emotions,grim,cs,el,ɡrˈim,(en)ɡɹˈɪm(el),1.000,0.204,0.172,4.622,Positive
emotions,shock,cs,el,ʃˈok,sˈok,1.000,0.204,0.172,4.622,Positive
emotions,nirvana,da,el,nʔiɐ̯ʋˈana,nirvˈana,0.857,0.159,0.152,4.605,Positive
house,lanai,es,da,lˈanaɪ,lˈanaˌʔi,1.000,0.194,0.177,4.554,Positive
house,mat,es,da,mˈat,mˈat,1.000,0.194,0.177,4.554,Positive
