topic,source_word,en,de,nl,cs,it,es,PT-PT,ro,da,fr,pl,hu,el,NB
animals,aardvark,aardvark,erdferkel,,,,aardvark,aardvark,,,,,,,
animals,abalone,abalone,abalone,,,,abulón,abalone,,,,,,,
animals,african elephant,african elephant,afrikanischer elefant,,,,elefante africano,elefante africano,,,,,,,
animals,african gray parrot,african gray parrot,afrikanischer graupapagei,,,,loro gris africano,papagaio cinzento africano,,,,,,,
animals,african penguin,african penguin,brillenpinguin,,,,pingüino africano,pinguim africano,,,,,,,
animals,african rock python,african rock python,afrikanischer felsenpython,,,,pitón de roca africana,pitão-das-rochas-africano,,,,,,,
animals,african wild cat,african wild cat,afrikanische wildkatze,,,,gato montés africano,gato selvagem africano,,,,,,,
animals,agouti,agouti,agouti,,,,agutí,agouti,,,,,,,
animals,airedale terrier,airedale terrier,airedale-terrier,,,,airedale terrier,terrier airedale,,,,,,,
animals,alaskan malamute,alaskan malamute,alaskan malamute,,,,malamute de alaska,malamute do alasca,,,,,,,
animals,albatross,albatross,albatros,,,,albatros,albatroz,,,,,,,
animals,algae,algae,algen,,,,algas,algas,,,,,,,
animals,alligator,alligator,alligator,,,,caimán,crocodilo,,,,,,,
animals,alpaca,alpaca,alpaka,,,,alpaca,alpaca,,,,,,,
animals,american bison,american bison,amerikanischer bison,,,,bisonte americano,bisonte americano,,,,,,,
animals,american cocker spaniel,american cocker spaniel,amerikanischer cockerspaniel,,,,cocker spaniel americano,cocker spaniel americano,,,,,,,
animals,american crocodile,american crocodile,amerikanisches krokodil,,,,cocodrilo americano,crocodilo americano,,,,,,,
animals,american flamingo,american flamingo,amerikanischer flamingo,,,,flamenco americano,flamingo americano,,,,,,,
animals,american golden plover,american golden plover,amerikanischer goldregenpfeifer,,,,chorlito dorado americano,tarambola-dourada-americana,,,,,,,
animals,american robin,american robin,rotkehlchen,,,,petirrojo americano,pisco-de-peito-ruivo,,,,,,,
animals,american tree sparrow,american tree sparrow,amerikanischer feldsperling,,,,gorrión molinero americano,pardal americano,,,,,,,
animals,amoeba,amoeba,amöbe,,,,ameba,ameba,,,,,,,
animals,amphibian,amphibian,amphibien,,,,anfibio,anfíbio,,,,,,,
animals,anaconda,anaconda,anakonda,,,,anaconda,anaconda,,,,,,,
animals,angelfish,angelfish,skalar,,,,pez ángel,peixe-anjo,,,,,,,
animals,angelshark,angelshark,engelshai,,,,angelshark,tubarão-anjo,,,,,,,
animals,angonoka,angonoka,angonoka,,,,angonoka,angonoka,,,,,,,
animals,animal,animal,tier,,,,animal,animal,,,,,,,
animals,anole,anole,anole,,,,anole,anole,,,,,,,
animals,ant,ant,ameise,,,,hormiga,formiga,,,,,,,
animals,anteater,anteater,ameisenbär,,,,oso hormiguero,tamanduá,,,,,,,
animals,antelope,antelope,antilope,,,,antílope,antílope,,,,,,,
animals,apatosaurus,apatosaurus,apatosaurus,,,,apatosaurus,apatossauro,,,,,,,
animals,ape,ape,affen,,,,mono,macaco,,,,,,,
animals,aphid,aphid,blattlaus,,,,pulgón,pulgão,,,,,,,
animals,arachnid,arachnid,spinnentier,,,,arácnido,aracnídeo,,,,,,,
animals,archaeopteryx,archaeopteryx,archaeopteryx,,,,archaeopteryx,arqueoptérix,,,,,,,
animals,arctic fox,arctic fox,polarfuchs,,,,zorro ártico,raposa do ártico,,,,,,,
animals,arctic tern,arctic tern,küstenseeschwalbe,,,,charrán ártico,andorinha-do-mar árctica,,,,,,,
animals,arctic wolf,arctic wolf,polarwolf,,,,lobo ártico,lobo do ártico,,,,,,,
animals,armadillo,armadillo,gürteltier,,,,armadillo,tatu,,,,,,,
animals,arsinoitherium,arsinoitherium,arsinoitherium,,,,arsinoitherium,arsinitério,,,,,,,
animals,arthropod,arthropod,arthropoden,,,,artrópodo,artrópode,,,,,,,
animals,artiodactyls,artiodactyls,paarhufer,,,,artiodáctilos,artiodáctilos,,,,,,,
animals,asp,asp,asp,,,,asp,asp,,,,,,,
animals,assassin bug,assassin bug,raubwanze,,,,bicho asesino,inseto assassino,,,,,,,
animals,ayeaye,ayeaye,ayeaye,,,,ayeaye,ayeaye,,,,,,,
animals,baboon,baboon,pavian,,,,babuino,babuíno,,,,,,,
animals,bactrian camel,bactrian camel,trampeltier,,,,camello bactriano,camelo bactriano,,,,,,,
animals,badger,badger,dachs,,,,tejón,texugo,,,,,,,
animals,bald eagle,bald eagle,weißkopfseeadler,,,,águila calva,águia careca,,,,,,,
animals,bandicoot,bandicoot,bandicoot,,,,bandicoot,bandicoot,,,,,,,
animals,barnacle,barnacle,rankenfußkrebs,,,,percebe,craca,,,,,,,
animals,barracuda,barracuda,barrakuda,,,,barracuda,barracuda,,,,,,,
animals,basilisk,basilisk,basilisk,,,,basilisco,basilisco,,,,,,,
animals,basking shark,basking shark,riesenhai,,,,tiburón peregrino,tubarão-frade,,,,,,,
animals,bass,bass,bass,,,,bajo,baixo,,,,,,,
