topic,source_word,en,de,nl,cs,it,es,PT-PT,ro,da,fr,pl,hu,el,NB
animals,aardvark,ˈɑːɹdvɑːɹk,ɛɾtfˈɛɾkəl,ˈaːrdvɑrkən,ˈaardvark,oritːˈɛropo,ˌaaɾðβˈaɾk,ˌɐɐɾədvˈaɾək,ˌaardvˈark,jˈʔoɐ̯sʋʔin,oʁikteʁˈɔp,aˈardvark,ˈɑɑrdvɑrk,(en)ˈɑːdvɑːk(el),jˈɔrdsviːn
animals,abalone,ɐbˈæloʊn,ˌɑbalˈoːnə,ˌaːbaːlˈoːnə,ˈabalˌone,abalˈone,ˌaβulˈon,ˌɐbɐlˈonɨ,ˌabalˈone,ˈabalˌonə,ɔʁmˈo,uxˈɔvʲɛts,ˈɑbɑlonɛ,ˌavalonˈaci,ˈabalˌuːna
animals,african elephant,ˈæfɹɪkən ˈɛlɪfənt,ˌafriːkˈɑnɪʃɜ ˌeːleːfˈant,ˈaːfrikˌaːnsə ˌoːlifˈɑnt,slˈon ˈafritskiː,elefˈante afrikˈano,ˌelefˈante ˌafɾikˈano,ˌelɨfˈɐ̃ŋtɨ ˌɐfɹikˈɐ̃nʊ,ˌelefˈant ˌafrikˈan,ˌ?ɑfʁʔikˈansk eləfˈant,elefˈɑ̃ dafʁˈik,swˈɔɲ ˌafrɨkˈaɲski,ˈɑfrikɑi ˈɛlɛfaːnt,ˌafrikˌanikˈos elˈefadˌas,ˈɑfriːkˌɑnsk ˈeːleːfˌɑnt
animals,african gray parrot,ˈæfɹɪkən ɡɹˈeɪ pˈæɹət,ˌafriːkˈɑnɪʃɜ ɡɾˈaʊpapˌɑɡaɪ,ˈaːfrikˌaːnsə ɣrˈɛɪzə pˈaːpəɣˌaːj,ˈafritskiː pˈapoʊʃek ʃˈediː,papːaɡˈallo ɡrˈidʒo afrikˈano,lˈoɾo ɣɾˈis ˌafɾikˈano,pˌɐpɐɡˈaɪʊ sˌiŋzˈeɪŋtw ˌɐfɹikˈɐ̃nʊ,pˌapaɡˈal ɡrˈi ˌafrikˈan,ˌ?ɑfʁʔikˈansk ɡʁˈɒ p?ɑbəɡˈʔʌjə,pɛʁokˈɛ ɡʁˈi afʁikˈɛ̃,ˌafrɨkˈaɲska papˈuɡa ʃˈara,ˈɑfrikɑi sˈyrkɛ pˈɑpɑɡaːj,ˌafrikˌanikˈoz ɡrˈizos pˌapaɣˈalos,ˈɑfriːkˌɑnsk ɡrˈoː pˈapeːjˌøya
animals,african penguin,ˈæfɹɪkən pˈɛŋɡwɪn,bɾˈɪlənpˌɪŋuːˌɪn,ˈaːfrikˌaːnsə pˈɪŋyˌɪn,tˈutʃɲaːk ˈafritskiː,piŋɡwˈino afrikˈano,pˌiŋɡuˈino ˌafɾikˈano,piŋɡwˈiŋ ˌɐfɹikˈɐ̃nʊ,piŋɡwˈin ˌafrikˈan,ˌ?ɑfʁʔikˈansk pʔeŋʋˈʔin,mɑ̃ʃˈo afʁikˈɛ̃,pˈiŋɡvin ˌafrɨkˈaɲski,ˈɑfrikɑi pˈinɡvin,ˌafrikˌanikˈos pˌiŋɡuˈinos,ˈɑfriːkˌɑnsk pˈɪŋviːn
animals,african rock python,ˈæfɹɪkən ɹˈɑːk pˈaɪθən,ˌafriːkˈɑnɪʃɜ fˈɛlzənpˌʏtoːn,ˈaːfrikˌaːnsə rˌɔtspɪtˈɔn,krˈajta skˈalɲiː ˈafritskaː,pitˈone dˌelle rˈɔtʃːe afrikˈano,pitˈon de rˈoka ˌafɾikˈana,pitˈɐ̃ʊ̃dɐʒʁˈɔʃɐzˌɐfɹikˈɐ̃nʊ,pitˈon ˌafrikˈan de stˈɨnkə,ˌ?ɑfʁʔikˈansk klˈʔepəpʔytˌʔʌn,pitˈɔ̃ də- ʁˈɔʃ afʁikˈɛ̃,ˌafrɨkˈaɲski pˈɨtɔn skˈalnɨ,ˈɑfrikɑi sˈiklɑpiton,ˌafrikˌanikˈos pˈiθonˌas,ˈɑfriːkˌɑnsk stˈaɪnpyːtˌuːn
animals,african wild cat,ˈæfɹɪkən wˈaɪld kˈæt,ˌafriːkˈɑnɪʃə vˈɪltkatsə,ˈaːfrikˌaːnsə ʋˌɪldə kˈɑt,ˈafritskaː kˈotʃka ɟˈivokaː,ɡˈatːo selvˈatiko afrikˈano,ɡˈato montˈes ˌafɾikˈano,ɡˈatʊ sˌelvˈaʒeɪŋ ˌɐfɹikˈɐ̃nʊ,pisˈika sˌəlbatˈikə ˌafrikˈanə,ˌ?ɑfʁʔikˈansk ʋˈʔilkat,ʃˈa sovˈaʒ afʁikˈɛ̃,dʑˈiki kˈɔt ˌafrɨkˈaɲski,ˈɑfrikɑi vˈɑdmɑtʃkɑ,ˌafrikˌanicˈi ˌaɣriˈoɣatˌa,ˈɑfriːkˌɑnsk vˈɪlkɑtː
animals,agouti,ˈæɡaʊɾi,ˈɑɡuːtˌiː,ˈaːɣʌʊtˌi,ˈaɡoʊci,aɡoˈutɪ,ˌaɣutˈi,ˌɐɡuwtˈi,aɡˈoʊtʲʲ,ˈaɡʔutˌʔi,aɡutˈi,ˌaɡɔˈutʲi,ˈɑɡouti,(en)ˈaɡaʊti(el),ˈaɡuːˌʉːtiː
animals,airedale terrier,ˈɛɹdeɪl tˈɛɹiɚ,(en)ˈeədeɪl(de)tɛrˈiːɾ,ˌɑjrədˈaːlə tˈɛɾriər,ˈairˌedale tˈerieːr,aɪredˈale terɾiˈɛr,ˌaɪɾeðˈale tˌeriˈeɾ,tˌeʁiˈɛɹ ˌaɪɾɨdˈalɨ,terjˈer ˌaɪɾedˈale,ˈɛːɐ̯ɛdˌalə tˈεɐ̯ɐ̯jʔʌ,ɛʁdˈal tɛʁjˈe,ˌairɛdˈalɛ tˈɛrʲɛr,ˈɑirɛdɑlɛ tˈɛriɛr,ˈalfa(en)ˈaɪədeɪl tˈɛɹiə(el),ˈɑɪreːdˌala tˈarriːər
animals,alaskan malamute,ɐlˈæskən mˈælɐmjˌuːt,ˌɑlaskˈɑːn mˈɑlamˌuːtə,aːlˈɑskaː mˌaːlaːmˈyt,ˈaljaʃskiː mˈalamut,alˈaskan malamˈute,mˌalamˈute ðe alˈaska,mˌɐlɐmˈutɨ dʊ ˌɐlˈaʃkɐ,ˌalaskˈan mˌalamˈute,alˈaskan mˈalamˌudə,malamˈyt dalaskˈa,alˈaskan mˌalamˈutɛ,ˈɑlɑskɑi mˈɑlɑmut,mˌalamˈut tis alˈaska,ˈalɑskˌan mˈalamˌʉːta
