OutlierType,LangPair,SourceWord
Negative,"('NB', 'da')","['disc', 'sphere', 'sempre', 'orange', 'bull', 'hornet', 'minnow', 'assassin bug', 'bobcat', 'toad', 'sea otter', 'flounder', 'jay', 'goat', 'lynx', 'dogfish', 'cricket', 'spiny anteater', 'fowl', 'table', 'squall', 'ridge', 'blustery', 'downpour', 'downburst', 'eye', 'autumn', 'spring', 'flurry', 'tart', 'soda', 'doughnut', 'vermilion', 'hue', 'lilac', 'orange', 'mate', 'kin', 'quints', 'adoption', 'cook', 'hobo', 'veterinarian', 'entrepreneur', 'waiter', 'handyman', 'maid', 'rancher', 'ranger', 'aide', 'janitor', 'tutor', 'jester', 'pitcher', 'painted lady butterfly', 'tissue', 'eye', 'leg', 'esophagus', 'drug', 'disorder', 'health', 'wart', 'care', 'loafers', 'slippers', 'cadence', 'leaflet', 'calyx', 'frond', 'filament', 'alfalfa', 'pollinate', 'shapeless', 'proboscideans', 'plantain', 'puffin', 'window shades', 'ninebanded armadillo', 'piano', 'raspberry', 'rope tornado', 'clearance', 'inventory', 'refurbished', 'outlet', 'fees', 'moth', 'urchin', 'sea urchin', 'stew', 'lunch', 'flax', 'stirfry', 'foodstuffs', 'cook', 'breakfast', 'tart', 'cuisine', 'orange', 'wafer', 'snack', 'pitcher', 'whey', 'punch', 'halibut', 'juice', 'soda', 'venison', 'batter', 'beet', 'beef', 'hot dog', 'picnic', 'junk food', 'meatloaf', 'doughnut', 'mincemeat', 'pan', 'patty', 'collared peccary', 'caribou', 'nuthatch', 'river otter', 'cavy', 'mussels', 'barnacle', 'corn snake', 'portico', 'front door', 'fence', 'awning', 'room', 'pool', 'ceiling', 'table', 'head waiter', 'delicious', 'waiter', 'beef', 'lunch', 'cook', 'breakfast', 'soda', 'dirty', 'helpful', 'touchy', 'good', 'circumspect', 'revered', 'listless', 'lame', 'outspoken', 'cantankerous', 'ugly', 'ardent', 'sturdy', 'alert', 'affectionate', 'levelheaded', 'tired', 'silly', 'naughty', 'steady', 'fiery']"
Negative,"('NB', 'de')","['quaver', 'flat', 'phrase', 'pitch', 'tie', 'rest', 'cadence', 'stave', 'shade', 'puce', 'amber', 'cinnamon', 'vermilion', 'teal']"
Negative,"('NB', 'en')","['major', 'beat', 'repeat', 'measure', 'major third', 'rest', 'treble', 'circle of fifths', 'prune', 'plantain']"
Negative,"('NB', 'nl')","['key', 'rest', 'major', 'cadence']"
Negative,"('PT-PT', 'es')","['crescent', 'lozenge', 'rhombus', 'rest', 'quaver', 'sharp', 'accent', 'kite', 'brush', 'trunk', 'nut', 'fertilizer', 'whole rest', 'ornament', 'major', 'brogues', 'slippers', 'slingbacks', 'thigh', 'breast', 'sole', 'fibula', 'face', 'nipple', 'nail', 'bill', 'clearance', 'surveyor', 'scout', 'doctor', 'warden', 'auctioneer', 'janitor', 'judge', 'bellhop', 'plane', 'fair', 'landspout', 'whiteout', 'swell', 'icicle', 'fall', 'muggy']"
Negative,"('PT-PT', 'fr')","['lozenge', 'kite', 'klein bottle', 'stem', 'stave', 'quaver', 'overtone', 'slur', 'rest', 'fine', 'fifth', 'key', 'blues', 'pitch']"
Negative,"('PT-PT', 'it')","['kite', 'crescent', 'rhombus', 'accent', 'play', 'circle', 'gnomon', 'major', 'plane', 'eighth note', 'lily', 'nut', 'hastate', 'bulb', 'bud', 'brush', 'horsetail', 'canopy', 'hardy', 'grave']"
Negative,"('PT-PT', 'ro')","['wedge', 'rhombus', 'slur', 'key', 'grave', 'subito', 'quaver', 'fine', 'treble', 'stave', 'blues', 'crescent']"
Negative,"('da', 'de')","['flat', 'sempre', 'sharp', 'semiquaver', 'rest', 'stave', 'harmonics', 'transposition', 'tie', 'key', 'major']"
Negative,"('da', 'nl')","['fourth', 'key', 'rest', 'sempre', 'notes']"
Negative,"('de', 'en')","['loquat', 'cherry']"
Negative,"('de', 'nl')","['major', 'phrase', 'beat', 'quaver rest', 'ledger line', 'flat', 'plantain', 'loquat']"
Negative,"('en', 'nl')","['beat', 'key', 'repeat', 'major', 'ledger line', 'notes', 'fig']"
Negative,"('es', 'fr')","['kite', 'point', 'rhombus', 'dot', 'crescent', 'pitch', 'play', 'fine', 'fifth', 'stave', 'major', 'slur', 'treble', 'sharp']"
Negative,"('es', 'it')","['kite', 'lozenge', 'play', 'major', 'slur', 'plane', 'square', 'stave', 'circle', 'heart', 'quarter note', 'periwinkle', 'indigo', 'puce', 'annulus', 'fall', 'muggy', 'frost', 'upwelling', 'windsock', 'watch', 'sleet', 'lightning', 'downburst', 'landfall', 'current', 'doldrums', 'wood', 'bean', 'hardy', 'nut', 'seedling', 'snapper', 'sunfish', 'goose', 'rhea', 'walrus', 'maggot', 'sheep', 'sparrow', 'skipper', 'bushbaby', 'aphid', 'bug', 'worm', 'pig', 'dog', 'chickadee', 'fireant', 'mosquito', 'thrip', 'mackerel', 'boxer', 'coypu']"
Negative,"('es', 'ro')","['heart', 'lozenge', 'wedge', 'orb', 'circle', 'tranquillo', 'subito', 'major', 'play', 'treble', 'rest']"
Negative,"('fr', 'it')","['lozenge', 'fifth', 'fine', 'pitch', 'kite', 'square', 'purple', 'pumpkin', 'copper', 'taupe', 'puce', 'wheat', 'nut', 'stalk', 'wood', 'hardy', 'sapling', 'sap', 'brush']"
Negative,"('fr', 'ro')","['crescent', 'kite', 'lozenge', 'heart', 'rest', 'sempre', 'pitch', 'subito', 'scale', 'sixteenth note']"
Negative,"('it', 'ro')","['orb', 'heart', 'kite', 'rest', 'whole rest', 'subito', 'treble', 'plane', 'tranquillo', 'flag', 'triplets']"
